,Location,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
332,"KL Sentral, Kuala Lumpur",3+1,3.0,1.0,Condominium,"Built-up : 1,532 sq. ft.",Fully Furnished
333,"Ampang, Kuala Lumpur",5+1,6.0,4.0,Bungalow (Corner),"Built-up : 3,821 sq. ft.",Partly Furnished
334,"Taman Melawati, Kuala Lumpur",6+1,7.0,3.0,Bungalow (Corner),Land area : 5300 sq. ft.,Partly Furnished
335,"Cheras, Kuala Lumpur",5+1,6.0,5.0,Bungalow,Land area : 8000 sq. ft.,Partly Furnished
336,"KL Sentral, Kuala Lumpur",3+1,3.0,,Condominium,"Built-up : 1,529 sq. ft.",Partly Furnished
337,"Sentul, Kuala Lumpur",3,2.0,,Condominium (Intermediate),"Built-up : 1,076 sq. ft.",Partly Furnished
338,"Sri Hartamas, Kuala Lumpur",4+1,6.0,,Semi-detached House (Corner),Land area : 6100 sq. ft.,Fully Furnished
339,"Bangsar, Kuala Lumpur",5+2,6.0,7.0,Bungalow,"Land area : 12,142 sq. ft.",
340,"Mont Kiara, Kuala Lumpur",2,2.0,,Serviced Residence,Built-up : 917 sq. ft.,Fully Furnished
341,"Dutamas, Kuala Lumpur",3+1,3.0,1.0,Condominium,"Built-up : 2,012 sq. ft.",Partly Furnished
342,"OUG, Kuala Lumpur",6+1,6.0,6.0,Bungalow (Corner),Land area : 5000 sq. ft.,Partly Furnished
343,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",2,2.0,2.0,Condominium (Intermediate),"Built-up : 1,164 sq. ft.",Fully Furnished
344,"Seputeh, Kuala Lumpur",2,2.0,2.0,Condominium,"Built-up : 1,025 sq. ft.",Fully Furnished
345,"Sentul, Kuala Lumpur",3,3.0,1.0,Condominium,"Built-up : 1,186 sq. ft.",
346,"Dutamas, Kuala Lumpur",3+1,5.0,2.0,Condominium,"Built-up : 1,709 sq. ft.",Fully Furnished
347,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3+1,2.0,2.0,Serviced Residence,"Built-up : 1,094 sq. ft.",Unfurnished
348,"Titiwangsa, Kuala Lumpur",5+1,5.0,4.0,Bungalow (Corner),Land area : 6050 sq. ft.,Partly Furnished
349,"Mont Kiara, Kuala Lumpur",4+1,4.0,3.0,Condominium (Corner),"Built-up : 2,495 sq. ft.",Partly Furnished
350,"Dutamas, Kuala Lumpur",4+1,4.0,3.0,Condominium (Corner),"Built-up : 2,070 sq. ft.",Partly Furnished
351,"Sungai Besi, Kuala Lumpur",3,2.0,2.0,Serviced Residence (Corner),"Built-up : 1,130 sq. ft.",Partly Furnished
352,"Mont Kiara, Kuala Lumpur",,,,Residential Land,Land area : 10358 sq. ft.,
353,"Seputeh, Kuala Lumpur",,,,Residential Land (Intermediate),Land area : 9884 sq. ft.,
354,"Mont Kiara, Kuala Lumpur",4,5.0,,Condominium,"Built-up : 3,400 sq. ft.",Partly Furnished
355,"Cheras, Kuala Lumpur",3+1,3.0,4.0,2-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Fully Furnished
356,"Sentul, Kuala Lumpur",3,2.0,,Condominium (Intermediate),Land area : 1062 sq. ft.,Unfurnished
357,"Desa Petaling, Kuala Lumpur",,,,Condominium,"Built-up : 1,141 sq. ft.",
358,"Taman Melawati, Kuala Lumpur",5+1,6.0,3.0,Semi-detached House,Land area : 40x80 sq. ft.,Partly Furnished
359,"Bukit Jalil, Kuala Lumpur",5,4.0,,3-sty Terrace/Link House,Land area : 2040 sq. ft.,Partly Furnished
360,"Sentul, Kuala Lumpur",3,2.0,1.0,Condominium,"Built-up : 1,115 sq. ft.",Partly Furnished
361,"Sungai Besi, Kuala Lumpur",3,2.0,,Serviced Residence,Built-up : 882 sq. ft.,
362,"Ampang, Kuala Lumpur",4+1,5.0,3.0,Semi-detached House (Intermediate),Land area : 40x80 sq. ft.,Partly Furnished
363,"Desa ParkCity, Kuala Lumpur",4+1,4.0,2.0,2-sty Terrace/Link House (EndLot),Land area : 38x75 sq. ft.,Partly Furnished
364,"Mont Kiara, Kuala Lumpur",4+1,4.0,3.0,Condominium,"Built-up : 2,648 sq. ft.",Fully Furnished
365,"Mont Kiara, Kuala Lumpur",3,2.0,2.0,Serviced Residence (Intermediate),"Built-up : 1,248 sq. ft.",Partly Furnished
366,"Mont Kiara, Kuala Lumpur",4+2,4.0,3.0,Condominium,"Built-up : 2,735 sq. ft.",
367,"Bandar Menjalara, Kuala Lumpur",3,2.0,1.0,Condominium,Built-up : 916 sq. ft.,
368,"Damansara Heights, Kuala Lumpur",3+1,4.0,2.0,Serviced Residence (Corner),"Built-up : 1,573 sq. ft.",Partly Furnished
369,"Damansara Heights, Kuala Lumpur",Studio,1.0,1.0,Serviced Residence,Built-up : 558 sq. ft.,Fully Furnished
370,"Dutamas, Kuala Lumpur",4,4.0,3.0,Condominium (Penthouse),,
371,"Taman Tun Dr Ismail, Kuala Lumpur",4+1,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 24x75 sq. ft.,Partly Furnished
372,"Bukit Tunku (Kenny Hills), Kuala Lumpur",5,5.0,3.0,Condominium,"Built-up : 3,627 sq. ft.",Partly Furnished
373,"Mont Kiara, Kuala Lumpur",4+1,6.0,3.0,Condominium (Corner),"Built-up : 3,541 sq. ft.",Fully Furnished
374,"Setapak, Kuala Lumpur",3,2.0,1.0,2.5-sty Terrace/Link House (Intermediate),,Unfurnished
375,"Bangsar, Kuala Lumpur",3,2.0,1.0,Condominium,"Built-up : 1,500 sq. ft.",
376,"Cheras, Kuala Lumpur",3+1,3.0,,2.5-sty Terrace/Link House (Intermediate),"Built-up : 3,001 sq. ft.",Partly Furnished
377,"Seputeh, Kuala Lumpur",1,2.0,1.0,Condominium,Built-up : 667 sq. ft.,Partly Furnished
378,"Seputeh, Kuala Lumpur",2+1,2.0,,Condominium (Intermediate),"Built-up : 1,110 sq. ft.",Partly Furnished
379,"Dutamas, Kuala Lumpur",3,3.0,2.0,Condominium (Intermediate),"Built-up : 1,451 sq. ft.",Fully Furnished
380,"Setapak, Kuala Lumpur",3+1,3.0,1.0,Condominium,"Built-up : 1,416 sq. ft.",Partly Furnished
381,"Sri Petaling, Kuala Lumpur",3,2.0,,Condominium (Corner),"Built-up : 1,129 sq. ft.",Fully Furnished
382,"Mont Kiara, Kuala Lumpur",,,,Bungalow Land,"Land area : 12,400 sq. ft.",
383,"Bukit Jalil, Kuala Lumpur",3+1,3.0,2.0,Condominium,"Built-up : 1,415 sq. ft.",Fully Furnished
384,"Setapak, Kuala Lumpur",4,2.0,2.0,Condominium (Intermediate),"Built-up : 1,450 sq. ft.",Partly Furnished
385,"Setapak, Kuala Lumpur",3+1,2.0,2.0,Serviced Residence (Corner),Land area : 1059 sq. ft.,Partly Furnished
386,"Sentul, Kuala Lumpur",3,3.0,1.0,Condominium,"Built-up : 1,087 sq. ft.",Fully Furnished
387,"Dutamas, Kuala Lumpur",3+1,3.0,2.0,Condominium (Corner),"Built-up : 1,580 sq. ft.",Partly Furnished
388,"Bukit Jalil, Kuala Lumpur",3+1,3.0,1.0,Condominium (EndLot),"Built-up : 1,422 sq. ft.",Fully Furnished
389,"Taman Duta, Kuala Lumpur",4+1,6.0,6.0,Bungalow,Land area : 10000 sq. ft.,Partly Furnished
390,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3,2.0,1.0,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Fully Furnished
391,"Bandar Menjalara, Kuala Lumpur",3+1,2.0,1.0,Serviced Residence (Intermediate),Built-up : 904 sq. ft.,Partly Furnished
392,"Bukit Jalil, Kuala Lumpur",3,3.0,2.0,Condominium (Corner),"Built-up : 1,003 sq. ft.",Partly Furnished
393,"Bukit Jalil, Kuala Lumpur",4+1,4.0,4.0,Condominium (Corner),"Built-up : 1,772 sq. ft.",Partly Furnished
394,"Segambut, Kuala Lumpur",3,2.0,1.0,Apartment,Built-up : 998 sq. ft.,Fully Furnished
395,"Segambut, Kuala Lumpur",3,3.0,,Condominium,"Built-up : 1,300 sq. ft.",Partly Furnished
396,"Kuchai Lama, Kuala Lumpur",3,2.0,2.0,Condominium,"Built-up : 1,150 sq. ft.",Partly Furnished
397,"Cheras, Kuala Lumpur",4,3.0,,2-sty Terrace/Link House (Intermediate),Land area : 20x75 (1500) sq. ft.,Partly Furnished
398,"Desa ParkCity, Kuala Lumpur",2,2.0,,Condominium,"Built-up : 1,196 sq. ft.",Unfurnished
399,"Damansara Heights, Kuala Lumpur",6,7.0,,Bungalow,Land area : 11400 sq. ft.,
400,"Pantai, Kuala Lumpur",3,2.0,1.0,Condominium (Corner),"Built-up : 1,088 sq. ft.",Fully Furnished
401,"Bukit Jalil, Kuala Lumpur",3+1,2.0,,Condominium,"Built-up : 1,293 sq. ft.",Partly Furnished
402,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",4,,,2-sty Terrace/Link House,,
403,"Taman Tun Dr Ismail, Kuala Lumpur",4,4.0,4.0,Semi-detached House (Intermediate),Land area : 3600 sq. ft.,Partly Furnished
404,"Wangsa Maju, Kuala Lumpur",2+1,2.0,,Serviced Residence,Land area : 850 sq. ft.,Unfurnished
405,"Jalan Kuching, Kuala Lumpur",3,2.0,1.0,Condominium (Intermediate),"Built-up : 1,009 sq. ft.",Partly Furnished
406,"Bukit Tunku (Kenny Hills), Kuala Lumpur",6+1,7.0,6.0,Bungalow (Corner),Land area : 20600 sq. ft.,Partly Furnished
407,"Cheras, Kuala Lumpur",2,2.0,,Condominium (Intermediate),Built-up : 975 sq. ft.,Fully Furnished
408,"KLCC, Kuala Lumpur",1,1.0,1.0,Serviced Residence (Intermediate),Built-up : 850 sq. ft.,Fully Furnished
409,"Bandar Damai Perdana, Kuala Lumpur",4,3.0,2.0,2-sty Terrace/Link House (EndLot),Land area : 20x70 sq. ft.,Partly Furnished
410,"Cheras, Kuala Lumpur",3,2.0,1.0,Condominium (Corner),Built-up : 910 sq. ft.,Partly Furnished
411,"Bukit Jalil, Kuala Lumpur",5,6.0,4.0,Condominium (Intermediate),"Built-up : 4,100 sq. ft.",Partly Furnished
412,"KLCC, Kuala Lumpur",2,2.0,,Condominium (Intermediate),Built-up : 976 sq. ft.,Partly Furnished
413,"KLCC, Kuala Lumpur",1,1.0,1.0,Serviced Residence,Built-up : 603 sq. ft.,Fully Furnished
414,"Dutamas, Kuala Lumpur",2,2.0,2.0,Condominium,"Built-up : 1,150 sq. ft.",Fully Furnished
415,"Batu Caves, Kuala Lumpur",3,2.0,2.0,Serviced Residence,"Built-up : 1,227 sq. ft.",Partly Furnished
416,"KLCC, Kuala Lumpur",3,3.0,1.0,Serviced Residence,"Built-up : 1,184 sq. ft.",Partly Furnished
417,"Mont Kiara, Kuala Lumpur",3+1,5.0,,Condominium,"Built-up : 1,605 sq. ft.",
418,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",2,2.0,2.0,Serviced Residence (Corner),Built-up : 814 sq. ft.,Fully Furnished
419,"Desa ParkCity, Kuala Lumpur",3,3.0,2.0,3-sty Terrace/Link House (Intermediate),"Built-up : 1,900 sq. ft.",Partly Furnished
420,"Taman Desa, Kuala Lumpur",5+1,4.0,,Semi-detached House (EndLot),Land area : 3000 sq. ft.,Partly Furnished
421,"KLCC, Kuala Lumpur",2,2.0,,Serviced Residence,"Built-up : 1,345 sq. ft.",Fully Furnished
422,"Damansara Heights, Kuala Lumpur",2+1,3.0,2.0,Serviced Residence,"Built-up : 1,668 sq. ft.",Partly Furnished
423,"duta Nusantara, Kuala Lumpur",5+1,6.0,4.0,Semi-detached House (Intermediate),Land area : 4000 sq. ft.,Partly Furnished
424,"Bangsar, Kuala Lumpur",3+1,5.0,,Condominium (Corner),"Built-up : 1,905 sq. ft.",Partly Furnished
425,"Damansara Heights, Kuala Lumpur",5+2,6.0,,Bungalow (Intermediate),Land area : 8500 sq. ft.,Partly Furnished
426,"Mont Kiara, Kuala Lumpur",Studio,1.0,1.0,Serviced Residence (Studio),Built-up : 462 sq. ft.,Fully Furnished
427,"Mont Kiara, Kuala Lumpur",3+1,4.0,2.0,Condominium,"Built-up : 2,201 sq. ft.",Partly Furnished
428,"Mont Kiara, Kuala Lumpur",3,2.0,1.0,Condominium,"Built-up : 1,208 sq. ft.",Fully Furnished
429,"Setapak, Kuala Lumpur",3,2.0,2.0,Serviced Residence (Intermediate),"Built-up : 1,040 sq. ft.",Partly Furnished
430,"Kuchai Lama, Kuala Lumpur",3+1,3.0,2.0,Condominium,"Built-up : 1,690 sq. ft.",Fully Furnished
431,"Jalan Kuching, Kuala Lumpur",1,1.0,,Serviced Residence,Built-up : 563 sq. ft.,Fully Furnished
432,"Kepong, Kuala Lumpur",3,2.0,2.0,Serviced Residence,"Built-up : 1,239 sq. ft.",Fully Furnished
433,"KLCC, Kuala Lumpur",3,2.0,2.0,Serviced Residence,"Built-up : 1,560 sq. ft.",Fully Furnished
434,"Mont Kiara, Kuala Lumpur",3+1,3.0,,Condominium (Intermediate),"Built-up : 2,257 sq. ft.",Fully Furnished
435,"Dutamas, Kuala Lumpur",3+1,4.0,2.0,Condominium,"Built-up : 1,876 sq. ft.",Partly Furnished
436,"Mont Kiara, Kuala Lumpur",,,,Residential Land,Land area : 13800 sq. ft.,
437,"Mont Kiara, Kuala Lumpur",3+1,4.0,,Condominium,"Built-up : 2,038 sq. ft.",Partly Furnished
438,"Kuchai Lama, Kuala Lumpur",3,2.0,,Condominium,"Built-up : 1,150 sq. ft.",Partly Furnished
439,"Sentul, Kuala Lumpur",3,2.0,,Condominium,,Unfurnished
440,"Taman Melawati, Kuala Lumpur",3+1,3.0,,Serviced Residence (Intermediate),"Built-up : 1,253 sq. ft.",Partly Furnished
441,"Desa ParkCity, Kuala Lumpur",5,4.0,,3-sty Terrace/Link House,Land area : 1760 sq. ft.,
442,"Kuchai Lama, Kuala Lumpur",3,2.0,1.0,Serviced Residence (Intermediate),Built-up : 935 sq. ft.,Fully Furnished
443,"Mont Kiara, Kuala Lumpur",3+1,4.0,,Condominium,"Built-up : 3,316 sq. ft.",
444,"KLCC, Kuala Lumpur",2,2.0,,Serviced Residence,"Built-up : 1,195 sq. ft.",Partly Furnished
445,"Dutamas, Kuala Lumpur",,,,Condominium,"Built-up : 1,326 sq. ft.",
446,"KL Sentral, Kuala Lumpur",2+1,4.0,2.0,Serviced Residence (Corner),"Built-up : 2,408 sq. ft.",Partly Furnished
447,"Setapak, Kuala Lumpur",3+1,2.0,2.0,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
448,"Cheras, Kuala Lumpur",3,2.0,1.0,Apartment (Corner),Built-up : 872 sq. ft.,Partly Furnished
449,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3+1,2.0,2.0,Serviced Residence (Intermediate),Built-up : 854 sq. ft.,Partly Furnished
450,"KLCC, Kuala Lumpur",2+1,2.0,1.0,Serviced Residence,Built-up : 877 sq. ft.,Partly Furnished
451,"Cheras, Kuala Lumpur",3,2.0,1.0,Condominium (Intermediate),"Built-up : 1,064 sq. ft.",Partly Furnished
452,"Taman Tun Dr Ismail, Kuala Lumpur",3,2.0,1.0,Condominium,"Built-up : 1,405 sq. ft.",Fully Furnished
453,"Sungai Besi, Kuala Lumpur",2,2.0,,Condominium,Built-up : 858 sq. ft.,Unknown
454,"Mont Kiara, Kuala Lumpur",4+1,6.0,3.0,Condominium (Intermediate),"Built-up : 2,411 sq. ft.",Fully Furnished
455,"Setapak, Kuala Lumpur",3,2.0,2.0,Serviced Residence,"Built-up : 1,009 sq. ft.",Unfurnished
456,"Seputeh, Kuala Lumpur",,,,Bungalow Land (Corner),Land area : 23100 sq. ft.,Unknown
457,"Bukit Tunku (Kenny Hills), Kuala Lumpur",4+1,3.0,1.0,Condominium (Corner),"Built-up : 2,349 sq. ft.",Partly Furnished
458,"Taman Desa, Kuala Lumpur",5+1,6.0,,Semi-detached House,Land area : 38x80 sq. ft.,Unfurnished
459,"Mont Kiara, Kuala Lumpur",3+1,4.0,2.0,Condominium,"Built-up : 1,605 sq. ft.",Fully Furnished
460,"Pantai, Kuala Lumpur",3,2.0,2.0,Condominium (Intermediate),"Built-up : 1,200 sq. ft.",Partly Furnished
461,"Kuchai Lama, Kuala Lumpur",3+1,2.0,2.0,Condominium,"Built-up : 1,450 sq. ft.",Fully Furnished
462,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3,2.0,1.0,Serviced Residence (Intermediate),Built-up : 950 sq. ft.,Unfurnished
463,"Mont Kiara, Kuala Lumpur",4+1,3.0,3.0,Condominium (Corner),"Built-up : 2,973 sq. ft.",Partly Furnished
464,"Mont Kiara, Kuala Lumpur",3+1,3.0,2.0,Condominium (Corner),"Built-up : 1,871 sq. ft.",Fully Furnished
465,"Chan Sow Lin, Kuala Lumpur",3,4.0,2.0,Serviced Residence (Intermediate),Land area : 1250 sq. ft.,Partly Furnished
466,"Ampang Hilir, Kuala Lumpur",4+1,4.0,4.0,Condominium (Corner),"Built-up : 4,293 sq. ft.",Unfurnished
467,"Kepong, Kuala Lumpur",,,,Residential Land (Intermediate),Land area : 42000 sq. ft.,
468,"Bukit Jalil, Kuala Lumpur",6,5.0,,3-sty Terrace/Link House (EndLot),Land area : 32x75 sq. ft.,Partly Furnished
469,"Cheras, Kuala Lumpur",5,3.0,,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
470,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3+1,4.0,,Condominium (Intermediate),"Built-up : 2,128 sq. ft.",Unfurnished
471,"KLCC, Kuala Lumpur",1,1.0,1.0,Condominium,Built-up : 659 sq. ft.,Fully Furnished
472,"Cheras, Kuala Lumpur",6+1,7.0,,Semi-detached House (Intermediate),Land area : 40x80 sq. ft.,Unfurnished
473,"Mont Kiara, Kuala Lumpur",1,2.0,1.0,Condominium (Corner),Built-up : 798 sq. ft.,
474,"Mont Kiara, Kuala Lumpur",3+1,2.0,1.0,Condominium,"Built-up : 1,733 sq. ft.",Partly Furnished
475,"Kepong, Kuala Lumpur",5,5.0,3.0,3-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Unfurnished
476,"Dutamas, Kuala Lumpur",3,2.0,2.0,Condominium,"Built-up : 1,670 sq. ft.",Fully Furnished
477,"City Centre, Kuala Lumpur",1+1,2.0,2.0,Condominium,"Built-up : 1,600 sq. ft.",Partly Furnished
478,"Bandar Menjalara, Kuala Lumpur",5+1,5.0,,Semi-detached House,Land area : 45x90 sq. ft.,
479,"Dutamas, Kuala Lumpur",3+1,4.0,2.0,Condominium,"Built-up : 1,897 sq. ft.",Partly Furnished
480,"Bangsar, Kuala Lumpur",3,2.0,1.0,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
481,"Bukit Bintang, Kuala Lumpur",2,2.0,,Serviced Residence,"Built-up : 1,099 sq. ft.",Fully Furnished
482,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",2,2.0,1.0,Serviced Residence (Intermediate),Built-up : 852 sq. ft.,Partly Furnished
483,"KLCC, Kuala Lumpur",2,2.0,1.0,Serviced Residence,Built-up : 803 sq. ft.,Fully Furnished
484,"OUG, Kuala Lumpur",4+1,6.0,2.0,3-sty Terrace/Link House,Land area : 22 x 75 sq. ft.,Fully Furnished
485,"Sentul, Kuala Lumpur",3,2.0,1.0,Condominium (Intermediate),"Built-up : 1,240 sq. ft.",Partly Furnished
486,"Bukit Jalil, Kuala Lumpur",3,2.0,1.0,Apartment (Intermediate),"Built-up : 1,092 sq. ft.",Partly Furnished
487,"Damansara Heights, Kuala Lumpur",4+1,4.0,3.0,Bungalow (Corner),,Partly Furnished
488,"Mont Kiara, Kuala Lumpur",Studio,1.0,1.0,Serviced Residence (Intermediate),Built-up : 462 sq. ft.,Fully Furnished
489,"Bandar Menjalara, Kuala Lumpur",3,2.0,2.0,Condominium (Intermediate),"Built-up : 1,162 sq. ft.",Partly Furnished
490,"KLCC, Kuala Lumpur",3+1,4.0,,Condominium,"Built-up : 3,606 sq. ft.",Partly Furnished
491,"Segambut, Kuala Lumpur",4,3.0,4.0,Semi-detached House (Intermediate),Land area : 3700 sq. ft.,Partly Furnished
492,"Cheras, Kuala Lumpur",6+1,4.0,2.0,3-sty Terrace/Link House (Intermediate),Land area : 24x75 sq. ft.,Fully Furnished
493,"Wangsa Maju, Kuala Lumpur",5+1,5.0,3.0,Condominium,"Built-up : 2,562 sq. ft.",Partly Furnished
494,"OUG, Kuala Lumpur",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 1679 sq. ft.,Partly Furnished
495,"Kepong, Kuala Lumpur",5+1,5.0,,2.5-sty Terrace/Link House (Intermediate),Land area : 22x68 sq. ft.,Partly Furnished
496,"Dutamas, Kuala Lumpur",3,2.0,,Condominium (Corner),"Built-up : 1,100 sq. ft.",Unfurnished
497,"OUG, Kuala Lumpur",7,8.0,,Bungalow,Land area : 6996 sq. ft.,Unfurnished
498,"Bukit Bintang, Kuala Lumpur",3+1,3.0,2.0,Condominium,"Built-up : 1,820 sq. ft.",Fully Furnished
499,"Kepong, Kuala Lumpur",3,2.0,1.0,Condominium (Intermediate),Built-up : 930 sq. ft.,Partly Furnished
